week,lecture,title,url
1,1,"1.1 Deconstructing the Software Development Process - Introduction","https://www.youtube.com/watch?v=hKm_rh1RTJQ"
1,2,"1.2 Thinking of Software in terms of Components","https://www.youtube.com/watch?v=81BaOIrfvJA"
1,3,"1.3 Software Development Process - Requirement Specification","https://www.youtube.com/watch?v=SU2CBhSFUUA"
1,4,"1.4 Software Development Process - Software Design and Development","https://www.youtube.com/watch?v=iNqfWUN_hrc"
1,5,"1.5 Testing and Maintenance","https://www.youtube.com/watch?v=3uokL_BdoiU"
1,6,"1.6 Software Development Models - Waterfall","https://www.youtube.com/watch?v=938T0bC7ls0"
1,7,"1.7 Software Development - Agile","https://www.youtube.com/watch?v=nQzRUGuEDXs"
2,1,"2.1 Software Requirements - Requirements Gathering and Analysis","https://youtu.be/6cjKDEoCvMc?si=quPKeOc2dekyBl7m"
2,2,"2.2 Identifying Users and Requirements","https://youtu.be/L9-CUa0BlLk?si=upzgOE8JGeqSa17-"
2,3,"2.3 Functional and Non-functional Requirements","https://youtu.be/CKGjkKXpCsw?si=Q8DmUDUd45M9uH2Q"
2,4,"2.4 Software Requirement Specification","https://youtu.be/Ml0HET0Va_c?si=egATB8sbESQ4vMqb"
2,5,"2.5 Behaviour Driven Design - User Stories","https://youtu.be/_KH9dSFVYTs?si=SUQuwyNye6PRqw40"
